 493.29  , 19.33  , 505.23  , 30.71  , 1.00 
 442.06  , 522.71  , 451.91  , 533.67  , 1.00 
 128.66  , 74.44  , 140.88  , 86.03  , 1.00 
 421.44  , 202.60  , 433.10  , 214.24  , 1.00 
 108.32  , 488.40  , 118.08  , 498.71  , 1.00 
 99.39  , 66.51  , 108.47  , 75.91  , 1.00 
 87.96  , 98.44  , 97.66  , 108.09  , 1.00 
 358.52  , 49.68  , 368.33  , 59.95  , 1.00 
 52.10  , 511.47  , 64.03  , 523.89  , 1.00 
 444.36  , 61.29  , 455.65  , 72.28  , 1.00 
 161.37  , 128.31  , 172.11  , 139.16  , 1.00 
 336.02  , 390.33  , 347.82  , 402.33  , 1.00 
 495.18  , 518.70  , 505.69  , 529.45  , 1.00 
 371.12  , 281.38  , 380.41  , 291.57  , 1.00 
 379.30  , 542.28  , 388.71  , 552.09  , 1.00 
 163.37  , 94.35  , 173.61  , 104.41  , 1.00 
 226.57  , 579.76  , 237.83  , 591.59  , 1.00 
 373.57  , 562.77  , 384.69  , 574.50  , 1.00 
 60.03  , 72.54  , 73.13  , 85.08  , 1.00 
 339.82  , 509.08  , 350.97  , 520.19  , 1.00 
 400.87  , 570.66  , 412.08  , 582.38  , 1.00 
 236.86  , 50.52  , 248.24  , 61.27  , 1.00 
 270.03  , 617.00  , 280.20  , 627.62  , 1.00 
 330.38  , 368.17  , 340.88  , 378.52  , 1.00 
 480.00  , 425.56  , 491.73  , 438.11  , 1.00 
 108.68  , 599.49  , 120.40  , 611.25  , 1.00 
 351.17  , 110.10  , 361.64  , 120.70  , 1.00 
 106.48  , 111.94  , 117.44  , 122.30  , 1.00 
 31.33  , 379.28  , 43.33  , 391.38  , 1.00 
 97.53  , 566.91  , 107.45  , 576.77  , 1.00 
 162.27  , 540.69  , 171.52  , 550.36  , 1.00 
 72.60  , 25.78  , 81.56  , 34.84  , 1.00 
 103.48  , 294.40  , 113.02  , 304.05  , 1.00 
 507.80  , 339.21  , 521.53  , 351.15  , 1.00 
 186.55  , 74.05  , 194.71  , 83.19  , 1.00 
 206.28  , 200.01  , 215.54  , 209.41  , 1.00 
 236.83  , 30.06  , 246.87  , 40.36  , 1.00 
 443.41  , 544.89  , 452.53  , 555.20  , 1.00 
 341.46  , 481.84  , 350.52  , 490.80  , 1.00 
 280.75  , 257.83  , 291.41  , 268.21  , 1.00 
 387.27  , 82.52  , 399.34  , 94.75  , 1.00 
 411.00  , 73.23  , 420.99  , 83.74  , 1.00 
 503.40  , 321.68  , 516.36  , 334.61  , 1.00 
 61.46  , 112.47  , 71.69  , 122.98  , 1.00 
 222.04  , 396.11  , 233.21  , 407.14  , 1.00 
 56.01  , 321.66  , 66.26  , 331.60  , 1.00 
 286.48  , 353.04  , 296.08  , 362.46  , 1.00 
 356.76  , 552.75  , 369.68  , 566.26  , 1.00 
 209.26  , 449.29  , 219.65  , 459.49  , 1.00 
 119.68  , 526.91  , 128.74  , 536.84  , 1.00 
 42.03  , 599.19  , 52.74  , 609.89  , 1.00 
 374.24  , 458.12  , 386.74  , 470.21  , 1.00 
 340.62  , 287.00  , 350.44  , 296.96  , 1.00 
 159.71  , 592.84  , 171.76  , 605.22  , 1.00 
 151.02  , 294.72  , 162.99  , 306.04  , 1.00 
 317.41  , 354.74  , 327.75  , 364.66  , 1.00 
 229.16  , 458.83  , 239.05  , 468.63  , 1.00 
 327.71  , 244.36  , 336.27  , 253.22  , 1.00 
 434.04  , 468.05  , 442.51  , 476.76  , 1.00 
 327.51  , 515.05  , 336.85  , 525.54  , 1.00 
 33.09  , 310.27  , 45.81  , 322.19  , 1.00 
 259.35  , 10.86  , 269.76  , 21.62  , 1.00 
 249.01  , 16.51  , 258.83  , 25.90  , 1.00 
 452.98  , 303.39  , 464.13  , 314.35  , 1.00 
 443.00  , 393.98  , 451.40  , 403.06  , 1.00 
 298.34  , 525.75  , 307.16  , 534.60  , 1.00 
 114.37  , 312.01  , 125.78  , 324.27  , 1.00 
 331.10  , 576.30  , 341.79  , 586.74  , 1.00 
